account_id,country_id,created_at
1,198,2019-02-22 16:31:20
2,101,2019-02-22 16:46:41
3,198,2019-02-22 18:09:36
4,198,2019-02-22 22:17:04
5,198,2019-02-22 22:37:56
6,198,2019-02-23 12:48:27
7,101,2019-02-23 13:36:54
8,198,2019-02-23 18:28:48
9,198,2019-02-23 19:28:17
10,198,2019-02-24 00:39:16
11,198,2019-02-24 14:47:34
12,101,2019-02-24 22:49:23
13,198,2019-02-25 13:01:59
14,198,2019-02-25 19:23:44
15,198,2019-02-26 00:59:57
16,198,2019-02-26 10:12:24
17,198,2019-02-26 10:14:53
18,198,2019-02-26 13:37:18
19,198,2019-02-27 11:51:27
20,101,2019-02-27 15:41:06
21,198,2019-02-27 15:52:10
22,198,2019-02-27 16:37:39
23,198,2019-02-27 17:53:05
24,198,2019-02-27 19:26:51
25,198,2019-02-27 19:31:43
26,198,2019-02-27 19:37:49
27,198,2019-02-28 14:59:35
28,198,2019-02-28 20:15:05
29,198,2019-02-28 23:31:41
30,198,2019-03-01 09:46:28
31,198,2018-09-05 06:28:22
32,198,2019-03-01 13:51:04
33,198,2019-03-04 11:41:46
34,198,2019-03-04 13:38:24
35,198,2019-03-04 21:52:50
36,198,2019-03-04 23:51:53
37,198,2019-03-05 09:11:01
38,198,2019-03-05 11:48:52
39,198,2019-03-05 13:42:36
40,198,2019-03-05 15:16:37
41,198,2019-03-05 16:55:48
42,198,2019-03-05 17:08:05
43,198,2019-03-05 17:16:06
44,198,2019-03-05 17:32:53
45,198,2019-03-05 17:58:22
46,198,2019-03-05 18:01:44
47,198,2019-03-05 21:45:27
48,198,2019-03-05 22:58:50
49,198,2019-03-06 01:19:16
50,198,2019-03-06 08:19:09
51,198,2019-03-06 09:49:46
52,198,2019-03-06 11:59:10
53,198,2019-03-06 12:33:57
54,198,2019-03-06 13:04:31
55,198,2018-06-07 10:14:38
56,198,2019-03-06 15:12:31
57,198,2019-03-06 15:30:31
58,198,2019-03-06 16:39:55
59,198,2019-03-06 17:25:23
60,198,2019-03-06 17:37:33
61,198,2018-04-17 18:51:02
62,198,2019-03-06 19:50:56
63,198,2019-03-06 20:07:22
64,198,2019-03-06 20:19:49
65,198,2019-03-06 20:30:57
66,198,2019-03-06 20:36:27
67,198,2019-03-06 21:16:02
68,198,2019-03-06 21:23:30
69,198,2019-03-07 07:12:42
70,198,2019-03-07 09:14:40
71,198,2019-03-07 10:30:24
72,198,2019-03-07 10:46:44
73,198,2019-03-07 12:19:49
74,198,2019-03-07 12:47:57
75,198,2019-03-07 12:53:06
76,198,2019-03-07 13:40:12
77,198,2019-03-07 16:54:55
78,198,2019-03-07 17:09:08
79,198,2019-03-07 18:03:45
80,198,2019-03-07 18:45:38
81,198,2019-03-07 19:40:07
82,198,2019-03-07 20:01:48
83,198,2019-03-07 20:09:24
84,198,2019-03-07 20:17:35
85,198,2019-03-07 22:08:46
86,198,2019-03-08 00:02:40
87,198,2019-03-08 01:36:42
88,198,2019-03-08 07:52:14
89,198,2019-03-08 09:46:07
90,198,2019-03-08 10:11:20
